"Observed"	"Shannon"	"InvSimpson"	"Evenness"	"Samples"	"Compartment"	"Management"	"Plot"	"Type.of.sample"	"NA"
"RE.1.01"	1185	6.58795228969324	461.013997128569	0.93231511134617	"RE.1.01"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.01"
"RE.1.02"	1171	6.56491087119984	439.231849441135	0.931661828939766	"RE.1.02"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.02"
"RE.1.03"	1246	6.62975013371712	481.073420261701	0.934779810173222	"RE.1.03"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.03"
"RE.1.04"	1087	6.52021162916421	454.305952648795	0.936065399482736	"RE.1.04"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.04"
"RE.1.05"	1187	6.51908961489996	377.545971173743	0.922426018580712	"RE.1.05"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.05"
"RE.1.06"	1074	6.39161670670674	334.654437554879	0.918324705230074	"RE.1.06"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.06"
"RE.1.07"	1050	6.3997748098502	342.162704949417	0.92149072030962	"RE.1.07"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.07"
"RE.1.08"	1047	6.41266720788873	368.061697063597	0.925010297547431	"RE.1.08"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.08"
"RE.1.09"	1025	6.35987433702597	326.856985878357	0.920157409910015	"RE.1.09"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.09"
"RE.1.11"	1296	6.68017461727209	484.035103732336	0.933492068277009	"RE.1.11"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.11"
"RE.1.12"	1101	6.50962259086876	413.597412086776	0.932810495806356	"RE.1.12"	"Rhizosphere"	"Ecological"	"Ecological1"	"Ecological Rhizosphere"	"RE.1.12"
"RE.2.01"	1317	6.62373603136828	417.297444773201	0.926408262841278	"RE.2.01"	"Rhizosphere"	"Ecological"	"Ecological2"	"Ecological Rhizosphere"	"RE.2.01"
"RE.2.02"	1261	6.53779782310875	357.663319424338	0.917355357420216	"RE.2.02"	"Rhizosphere"	"Ecological"	"Ecological2"	"Ecological Rhizosphere"	"RE.2.02"
"RE.2.03"	1370	6.68514797752509	412.270662905224	0.928792011804271	"RE.2.03"	"Rhizosphere"	"Ecological"	"Ecological2"	"Ecological Rhizosphere"	"RE.2.03"
